sample_id,date,region,community,water_source,season,temperature_c,rainfall_mm,ph_level,turbidity_ntu,dissolved_oxygen_mg_l,nitrate_mg_l,coliform_count_cfu,lead_ppm,disease_cases_reported,disease_risk_score,risk_category
WQ-09002,2025-09-16,South West,East Cathy,River,Rainy,24.7,27.7,7.17,3.6,5.39,12.09,274,0.079,3,13.2,Low
WQ-09003,2025-01-12,North East,West Amyborough,Tap,Dry,28.2,22.1,5.11,22.36,7.33,5.07,64,0.018,4,16.0,Low
WQ-09004,2024-01-12,South East,South Ashleyshire,Tap,Dry,20.8,29.3,6.2,23.05,7.11,18.14,96,0.083,2,21.5,Low
WQ-09005,2023-11-06,North West,Richardburgh,River,Dry,28.0,65.0,7.64,12.73,8.26,19.55,114,0.07,3,18.7,Low
WQ-09006,2024-03-08,North Central,North James,Rainwater,Dry,27.6,50.0,8.33,15.53,4.81,3.86,48,0.001,3,12.3,Low
WQ-09007,2025-09-27,North Central,Reginaldbury,Borehole,Dry,23.0,66.1,7.97,20.27,4.56,15.98,41,0.038,1,18.8,Low
WQ-09008,2022-06-20,North Central,Lake Seth,Borehole,Dry,28.1,3.6,6.2,9.17,8.47,4.53,61,0.027,1,8.4,Low
WQ-09009,2024-04-30,North West,Courtneyland,Tap,Dry,27.2,54.6,9.58,11.38,9.52,21.13,181,0.031,1,20.1,Low
WQ-09010,2023-01-30,North Central,Lake Craigview,Rainwater,Rainy,25.2,59.7,6.31,11.99,8.8,12.65,56,0.017,2,13.0,Low
WQ-09011,2025-06-30,South South,Cochranmouth,Well,Rainy,33.1,41.4,6.12,16.46,7.01,3.08,14,0.052,1,14.0,Low
WQ-09012,2022-10-13,South West,Deckerport,Rainwater,Dry,25.4,21.2,7.16,13.42,7.41,30.8,271,0.017,0,16.3,Low
WQ-09013,2022-04-07,North Central,South Michael,River,Dry,25.1,32.4,4.44,16.48,7.03,1.07,394,0.026,3,18.7,Low
WQ-09014,2025-09-03,South West,Jamesview,Lake,Dry,26.7,44.1,8.09,15.55,5.53,16.23,168,0.022,2,16.5,Low
WQ-09015,2025-09-25,North East,Berryburgh,Rainwater,Rainy,32.2,22.3,5.55,4.05,5.8,14.99,128,0.037,0,12.1,Low
WQ-09016,2025-10-25,South East,West Veronica,Rainwater,Dry,25.7,31.6,7.27,3.56,5.31,19.06,102,0.007,3,8.7,Low
WQ-09017,2024-09-06,South West,Angelaview,Lake,Rainy,26.6,142.1,6.29,5.8,9.81,12.81,338,0.056,2,20.1,Low
WQ-09018,2022-05-31,North East,South Robert,River,Dry,20.4,18.7,8.1,16.51,2.75,21.63,116,0.056,2,18.3,Low
WQ-09019,2024-12-19,North Central,Penningtonfurt,Well,Rainy,27.4,33.3,7.61,0.72,5.57,16.97,229,0.001,1,8.9,Low
WQ-09020,2025-07-10,North Central,South Logan,Tap,Rainy,29.5,59.9,8.51,2.25,7.19,24.53,163,0.017,1,14.5,Low
WQ-09021,2024-01-14,North East,Port George,Lake,Rainy,25.1,10.3,4.81,13.33,8.32,2.16,367,0.03,1,15.9,Low
WQ-09022,2022-05-24,North West,Humphreyton,Lake,Rainy,25.8,21.1,6.41,10.84,4.82,26.47,118,0.08,1,17.8,Low
WQ-09023,2022-05-28,South South,Portertown,River,Dry,31.3,47.0,8.48,16.95,3.5,16.06,122,0.035,2,18.3,Low
WQ-09024,2022-10-14,South South,West Michaelberg,Rainwater,Dry,31.2,62.4,6.43,14.25,3.31,8.73,252,0.069,0,18.2,Low
WQ-09025,2022-06-17,North Central,Walshstad,Tap,Dry,28.9,67.9,7.21,13.59,7.32,29.51,20,0.065,2,19.1,Low
WQ-09026,2023-08-12,South South,Jacksonton,Lake,Rainy,32.6,17.0,6.54,9.52,8.22,8.78,216,0.067,4,13.4,Low
WQ-09027,2022-05-10,North Central,South Adam,Tap,Rainy,24.0,40.1,4.92,17.63,7.33,23.31,63,0.05,5,21.2,Low
WQ-09028,2022-03-01,South West,Dianafort,Lake,Dry,26.6,10.2,7.95,10.74,6.12,10.95,317,0.025,1,13.4,Low
WQ-09029,2023-06-21,North East,Herreraborough,River,Rainy,16.1,16.5,5.86,11.8,7.17,10.3,160,0.006,2,11.6,Low
WQ-09030,2025-05-29,North Central,New Christina,Lake,Rainy,28.7,18.9,6.71,23.19,3.0,26.11,111,0.048,4,19.6,Low
WQ-09031,2023-10-11,North East,Vargasshire,Tap,Dry,27.2,32.7,8.61,14.34,7.06,13.38,83,0.027,5,15.4,Low
WQ-09032,2024-04-27,South West,Francischester,Rainwater,Dry,28.0,12.6,5.75,19.45,6.0,2.89,313,0.042,3,16.8,Low
WQ-09033,2022-01-31,South East,Garnerfurt,Tap,Rainy,31.5,72.2,6.01,13.48,6.17,24.1,363,0.049,1,22.2,Low
WQ-09034,2025-03-28,North East,Garyborough,River,Dry,19.3,13.2,5.1,23.57,6.56,9.07,146,0.015,1,17.5,Low
WQ-09035,2025-09-10,South West,Lake Michael,Borehole,Dry,28.8,3.6,5.82,13.44,7.16,14.32,252,0.056,1,16.5,Low
WQ-09036,2024-12-28,North East,West Gabriella,Well,Dry,27.1,11.7,7.66,8.49,5.53,10.6,39,0.019,0,8.8,Low
WQ-09037,2024-07-19,North East,North Krista,Lake,Rainy,23.7,53.6,8.73,21.43,6.45,3.65,54,0.064,3,19.4,Low
WQ-09038,2025-05-18,North Central,Millerbury,River,Rainy,26.6,70.9,6.81,13.43,4.47,18.21,222,0.005,2,15.1,Low
WQ-09039,2025-05-24,North East,Josephport,Tap,Rainy,30.0,81.8,7.71,1.52,8.39,5.86,197,0.007,1,9.7,Low
WQ-09040,2022-12-05,South South,Ronaldtown,Rainwater,Rainy,21.7,132.7,6.77,5.04,6.6,12.25,278,0.004,3,14.5,Low
WQ-09041,2025-06-13,North East,Taylortown,Well,Dry,21.6,45.4,7.23,10.71,4.64,11.72,116,0.003,2,10.4,Low
WQ-09042,2023-09-10,South East,Gregmouth,Well,Rainy,28.9,52.5,6.28,0.85,6.47,17.56,174,0.007,0,10.1,Low
WQ-09043,2023-05-24,South West,Port Johnburgh,Rainwater,Rainy,30.8,5.5,6.81,3.28,5.54,13.58,16,0.061,1,8.6,Low
WQ-09044,2025-12-11,South West,West Lindsayside,Lake,Rainy,19.9,30.3,8.98,2.15,7.06,7.81,319,0.128,0,19.0,Low
WQ-09045,2024-11-04,South West,New Pamelafurt,Rainwater,Rainy,31.6,8.7,8.15,6.93,7.32,9.68,126,0.04,1,11.0,Low
WQ-09046,2023-09-26,North Central,Jamieburgh,Borehole,Dry,30.8,114.6,8.65,14.08,7.04,0.85,21,0.002,1,14.8,Low
WQ-09047,2024-05-22,North East,New Williamport,River,Dry,26.8,21.5,5.89,31.55,6.4,2.11,154,0.047,3,20.0,Low
WQ-09048,2023-10-19,North West,Robertstad,Borehole,Dry,32.0,34.1,6.97,20.41,6.23,12.11,53,0.007,1,12.8,Low
WQ-09049,2022-06-24,South South,Mccormickton,Tap,Rainy,25.7,30.4,7.54,16.39,5.84,13.77,42,0.029,4,13.7,Low
WQ-09050,2025-05-01,North West,Ingramland,Well,Rainy,29.1,64.1,8.03,1.14,7.72,3.68,16,0.004,1,6.8,Low
WQ-09051,2025-08-04,South West,Lake Michelle,Lake,Dry,29.4,34.2,5.61,23.51,4.53,21.39,205,0.03,2,21.5,Low
WQ-09052,2024-09-13,South East,Tracyshire,Lake,Dry,24.6,85.4,5.98,17.88,6.66,31.81,101,0.07,2,24.8,Low
WQ-09053,2022-12-18,South South,Morganberg,Tap,Dry,27.7,47.0,7.73,14.65,6.53,1.87,83,0.008,0,11.0,Low
WQ-09054,2025-11-10,North West,Robbinsburgh,Rainwater,Dry,29.1,51.9,6.26,21.99,6.42,18.08,191,0.057,1,21.4,Low
WQ-09055,2024-03-10,North East,Lake Seth,Borehole,Rainy,29.2,19.1,6.89,22.08,6.69,3.1,64,0.017,0,11.8,Low
WQ-09056,2022-08-27,North East,West Adrianburgh,Tap,Dry,27.2,41.9,7.03,23.24,10.31,8.08,150,0.029,4,15.8,Low
WQ-09057,2024-03-20,South East,Fowlerborough,River,Rainy,24.3,78.4,6.04,12.59,4.57,6.33,279,0.081,5,19.7,Low
WQ-09058,2022-10-26,South West,Lake Stephanieland,Borehole,Dry,18.2,45.7,5.94,3.75,7.33,21.99,271,0.022,3,14.3,Low
WQ-09059,2022-05-29,North East,East Hector,Well,Rainy,21.5,62.1,6.04,28.15,8.04,17.59,136,0.035,3,22.6,Low
WQ-09060,2025-06-28,South South,Travisfurt,Borehole,Dry,24.5,9.4,7.84,13.98,6.56,24.52,220,0.004,4,14.7,Low
WQ-09061,2024-08-17,North West,Cynthiamouth,Well,Rainy,32.7,22.1,6.89,17.61,5.75,21.76,209,0.039,1,16.8,Low
WQ-09062,2025-03-15,North East,Carlymouth,Lake,Rainy,25.6,28.2,7.51,11.79,7.1,14.09,110,0.051,0,14.0,Low
WQ-09063,2024-09-28,North East,Lake Christopherberg,Rainwater,Rainy,27.2,13.0,7.25,7.2,6.27,11.71,229,0.036,2,10.7,Low
WQ-09064,2022-05-19,South South,Mckenzieburgh,Well,Rainy,25.6,4.5,6.69,13.42,6.86,20.13,18,0.006,3,10.5,Low
WQ-09065,2023-06-06,South South,Kimberlyview,Lake,Dry,20.7,79.0,7.72,1.09,6.38,9.93,94,0.003,0,8.9,Low
WQ-09066,2025-10-29,South West,Nathanton,Tap,Rainy,24.7,4.7,5.3,6.02,5.07,0.52,186,0.033,2,9.9,Low
WQ-09067,2024-09-08,North Central,Nicholasport,Borehole,Dry,26.2,55.7,5.22,4.99,3.7,10.4,118,0.068,4,15.7,Low
WQ-09068,2024-07-22,South West,Davidland,River,Rainy,27.4,16.9,9.0,20.27,7.35,11.43,140,0.044,2,18.9,Low
WQ-09069,2022-10-31,North Central,Lake Reginald,River,Rainy,28.5,22.1,6.98,2.43,6.51,16.61,123,0.007,1,7.0,Low
WQ-09070,2024-06-01,North West,Boydfurt,Tap,Rainy,29.5,5.1,8.31,8.9,7.16,14.22,183,0.035,2,13.1,Low
WQ-09071,2024-01-18,North Central,Williamville,Borehole,Dry,23.8,28.8,6.62,8.44,4.77,30.44,112,0.068,3,16.8,Low
WQ-09072,2023-02-25,South South,Lisatown,Well,Dry,30.0,94.3,6.44,15.42,4.85,21.18,49,0.042,3,19.0,Low
WQ-09073,2025-01-17,North East,East David,Borehole,Dry,27.7,7.4,8.01,12.17,4.98,7.57,238,0.04,1,13.3,Low
WQ-09074,2023-05-26,North Central,North Amybury,Well,Rainy,25.3,56.8,5.89,6.06,6.13,16.13,10,0.072,0,15.2,Low
WQ-09075,2025-03-29,North Central,Kristenfort,Lake,Dry,31.5,106.8,7.36,10.55,4.22,0.22,24,0.021,1,11.6,Low
WQ-09076,2025-07-29,North East,North Timothybury,Lake,Rainy,25.1,36.8,6.52,17.14,4.09,15.34,47,0.054,1,16.1,Low
WQ-09077,2023-04-03,South South,West John,River,Rainy,24.1,19.4,7.88,7.68,5.42,25.52,45,0.017,1,12.2,Low
WQ-09078,2024-08-24,North East,Jacksonside,Borehole,Dry,30.3,60.9,6.72,4.72,6.93,13.56,311,0.028,3,12.9,Low
WQ-09079,2022-06-20,South West,North Christopher,Lake,Dry,24.7,4.4,7.76,11.33,9.1,20.41,136,0.035,1,13.6,Low
WQ-09080,2023-04-16,North East,Lake Jerryland,Lake,Rainy,32.1,54.7,4.39,15.38,6.21,14.32,49,0.002,3,17.2,Low
WQ-09081,2023-08-19,South West,Carolineton,Tap,Rainy,31.8,24.2,6.77,1.07,9.63,13.22,202,0.002,1,6.9,Low
WQ-09082,2023-01-12,South South,Maldonadoport,Well,Dry,27.5,29.6,9.0,11.29,7.42,27.73,21,0.024,4,17.0,Low
WQ-09083,2022-01-14,North Central,Knightbury,Tap,Dry,17.8,22.0,7.12,5.82,7.95,6.01,292,0.093,3,13.5,Low
WQ-09084,2022-02-16,North Central,Elainetown,Rainwater,Rainy,24.9,38.5,8.28,15.53,6.43,13.35,78,0.008,0,14.3,Low
WQ-09085,2025-01-20,South South,Mariaburgh,Well,Dry,23.5,25.5,7.0,2.06,7.72,17.0,124,0.0,2,6.7,Low
WQ-09086,2024-06-13,South East,East Amandafurt,Well,Dry,26.8,51.8,7.09,0.51,2.71,8.25,77,0.009,1,5.9,Low
WQ-09087,2024-09-30,South West,Jonesmouth,Lake,Dry,25.0,2.2,5.78,6.11,7.32,10.85,160,0.028,1,10.4,Low
WQ-09088,2023-03-05,South South,Morenoview,Lake,Rainy,25.0,24.2,6.24,0.98,5.18,12.79,217,0.032,2,9.8,Low
WQ-09089,2022-05-16,South West,Gonzalezburgh,Tap,Rainy,32.2,24.5,4.69,10.81,5.57,32.51,175,0.021,0,19.5,Low
WQ-09090,2023-12-25,North East,Allentown,Rainwater,Rainy,30.9,25.9,8.29,1.18,8.21,6.76,146,0.017,2,8.2,Low
WQ-09091,2022-02-07,North West,Julieton,Borehole,Dry,26.0,7.8,5.86,13.45,3.07,26.75,65,0.018,3,14.8,Low
WQ-09092,2024-11-17,North West,Lake Elizabethhaven,Borehole,Dry,24.9,9.7,6.73,2.34,10.17,12.47,271,0.031,0,9.0,Low
WQ-09093,2025-11-11,North Central,New Stacey,Rainwater,Rainy,20.0,25.6,8.81,25.61,9.02,0.55,232,0.016,4,17.9,Low
WQ-09094,2022-09-21,South South,North Anne,Well,Dry,31.7,28.5,6.89,18.71,7.27,5.58,33,0.004,0,10.4,Low
WQ-09095,2025-11-14,South East,Michaelburgh,River,Dry,23.4,20.5,5.56,20.84,7.75,19.87,329,0.009,3,19.5,Low
WQ-09096,2024-05-06,North Central,New Morgan,Borehole,Dry,25.6,14.7,8.53,3.68,10.29,35.75,88,0.041,2,15.8,Low
WQ-09097,2022-09-22,North Central,West Markmouth,Tap,Dry,33.5,6.8,8.29,26.2,5.79,0.39,31,0.091,3,18.8,Low
WQ-09098,2022-11-11,North East,Lisamouth,Well,Dry,27.5,43.4,5.74,8.67,6.79,15.98,372,0.123,3,22.5,Low
WQ-09099,2022-01-06,South West,New Elizabeth,Lake,Dry,25.9,35.9,7.3,1.59,5.35,0.46,89,0.009,1,4.5,Low
WQ-09100,2025-10-30,South West,Port Kimberlyfort,River,Rainy,22.1,17.7,6.24,19.83,9.41,27.05,194,0.023,2,18.6,Low
WQ-09101,2023-02-09,North East,Lake Joefort,Lake,Rainy,30.1,13.7,6.62,16.84,8.35,18.43,139,0.081,1,17.9,Low
WQ-09102,2025-03-22,South East,South Tommyfurt,Well,Dry,20.9,35.0,6.74,1.0,4.28,1.47,201,0.044,0,7.7,Low
WQ-09103,2025-02-21,North Central,Moralesfort,Tap,Dry,34.6,48.6,8.65,3.89,6.82,15.09,142,0.031,3,13.6,Low
WQ-09104,2024-05-01,North Central,Kimberlyview,Rainwater,Dry,27.4,15.0,8.17,19.42,5.05,21.3,249,0.055,2,20.6,Low
WQ-09105,2022-09-11,South West,New Stephanie,Tap,Dry,27.4,29.2,6.36,21.93,6.86,14.75,152,0.078,1,20.3,Low
WQ-09106,2025-02-17,South East,South Kevinborough,Tap,Rainy,25.3,22.6,7.64,5.41,4.05,22.07,215,0.01,2,11.6,Low
WQ-09107,2022-01-19,South East,Port Kimberly,Lake,Rainy,24.2,113.6,8.16,12.04,8.53,19.6,446,0.046,5,23.8,Low
WQ-09108,2023-06-05,North East,South Bryan,River,Dry,26.3,57.6,5.03,11.86,8.05,24.82,101,0.049,2,20.3,Low
WQ-09109,2022-05-12,North West,Stephaniemouth,Well,Rainy,26.7,15.2,7.41,13.57,5.91,13.62,283,0.01,2,12.8,Low
WQ-09110,2024-06-11,North Central,Christopherfort,Tap,Dry,28.3,24.8,7.85,29.97,6.05,20.89,183,0.076,3,24.9,Low
WQ-09111,2022-01-09,South East,Angelaland,Well,Rainy,26.8,26.0,6.54,13.13,5.89,14.72,27,0.015,1,11.3,Low
WQ-09112,2023-08-18,North Central,Bridgesburgh,Lake,Rainy,26.5,31.4,7.7,7.73,4.35,30.57,78,0.048,1,15.8,Low
WQ-09113,2022-07-24,South West,Obrientown,Well,Dry,26.8,56.2,7.14,6.99,6.93,14.71,314,0.025,1,13.4,Low
WQ-09114,2024-09-30,North West,East Andreamouth,Lake,Dry,27.3,43.5,8.27,1.65,6.14,5.66,273,0.025,2,10.8,Low
WQ-09115,2025-04-03,South East,Simshaven,Well,Dry,31.4,3.6,7.91,13.79,7.77,31.63,192,0.051,0,18.6,Low
WQ-09116,2024-11-22,South East,Marieport,Lake,Dry,22.7,56.6,6.09,15.98,8.21,6.79,191,0.104,3,20.4,Low
WQ-09117,2023-08-29,North Central,Turnermouth,Rainwater,Dry,32.6,36.4,9.04,30.84,6.88,20.1,59,0.06,0,25.8,Low
WQ-09118,2022-01-13,North Central,Washingtonland,Borehole,Rainy,23.2,29.7,8.56,25.03,5.29,19.28,246,0.012,1,21.1,Low
WQ-09119,2025-06-14,North West,East Mark,Borehole,Rainy,31.7,62.8,8.42,14.89,6.04,5.58,96,0.04,1,16.1,Low
WQ-09120,2022-07-22,South South,Barronside,Lake,Rainy,26.9,29.7,6.38,14.11,7.29,14.34,194,0.056,1,16.3,Low
WQ-09121,2022-09-08,South West,East Matthew,Lake,Dry,24.6,23.7,7.45,19.62,5.66,11.43,10,0.036,0,14.1,Low
WQ-09122,2024-02-02,North West,Francistown,River,Rainy,23.4,36.8,7.64,8.15,4.77,17.49,152,0.049,1,14.3,Low
WQ-09123,2025-11-27,North East,Robertshire,Lake,Dry,27.7,12.8,8.39,14.18,6.69,3.48,355,0.008,1,13.5,Low
WQ-09124,2023-10-27,North East,South Williamchester,River,Dry,25.6,8.4,4.81,32.88,4.68,11.25,267,0.114,5,29.2,Low
WQ-09125,2024-07-22,South South,West Travis,Rainwater,Dry,29.3,56.7,6.58,12.46,7.66,19.19,257,0.005,0,15.1,Low
WQ-09126,2023-04-27,South West,Sweeneyview,Tap,Rainy,25.0,37.8,6.65,19.36,7.35,5.06,93,0.063,3,15.7,Low
WQ-09127,2025-12-03,North West,Tristanland,Well,Dry,28.4,42.7,8.88,16.75,8.11,2.74,212,0.061,3,18.7,Low
WQ-09128,2024-04-08,South West,Rosston,Well,Rainy,31.0,22.7,9.33,7.22,6.69,16.07,94,0.04,3,15.2,Low
WQ-09129,2025-05-05,North East,Williamsville,Well,Dry,23.3,35.2,6.86,14.69,6.97,14.26,110,0.029,3,13.3,Low
WQ-09130,2022-06-28,North West,Peggyport,Borehole,Dry,20.8,35.6,7.31,7.41,6.72,4.96,236,0.007,1,9.0,Low
WQ-09131,2023-10-27,North Central,Martinezfurt,Well,Dry,24.3,17.8,9.67,10.61,2.67,11.5,200,0.047,4,17.4,Low
WQ-09132,2023-01-07,North West,Virginiamouth,Rainwater,Rainy,27.3,65.4,5.92,11.2,6.9,8.79,286,0.002,1,14.4,Low
WQ-09133,2024-04-03,South East,North Andrewchester,Tap,Dry,15.1,66.8,4.6,10.8,3.52,9.91,91,0.014,1,16.0,Low
WQ-09134,2024-06-30,North Central,Morrisonfort,River,Dry,22.1,49.8,7.68,6.05,4.43,17.42,77,0.003,4,10.6,Low
WQ-09135,2023-05-03,North West,Elizabethhaven,Rainwater,Dry,24.2,38.2,6.18,27.6,7.54,16.22,144,0.016,0,19.6,Low
WQ-09136,2024-12-28,North Central,East Steveville,Well,Rainy,21.4,26.1,7.9,5.78,2.92,16.6,77,0.044,1,12.1,Low
WQ-09137,2022-08-30,South South,West Gregory,Borehole,Rainy,24.1,17.2,6.79,12.2,6.14,12.09,214,0.069,3,14.7,Low
WQ-09138,2023-09-26,South South,East Juan,Tap,Dry,27.5,45.1,4.77,26.42,5.79,10.05,95,0.114,1,26.7,Low
WQ-09139,2024-01-24,North East,New Justinshire,River,Dry,27.3,37.6,6.17,16.17,8.71,34.55,187,0.0,4,18.4,Low
WQ-09140,2025-09-15,South West,Reidhaven,Well,Rainy,22.2,12.1,7.7,11.83,8.15,31.57,173,0.065,3,18.5,Low
WQ-09141,2022-04-03,South West,Tonyville,Well,Dry,25.5,52.5,5.63,4.1,2.89,13.34,374,0.067,2,17.5,Low
WQ-09142,2025-02-28,North West,Lake Reneeton,Lake,Rainy,28.8,75.0,6.25,13.11,4.83,34.74,18,0.069,2,21.6,Low
WQ-09143,2024-06-30,South East,South Leroy,Tap,Rainy,20.8,25.8,7.64,15.77,5.47,17.6,163,0.002,1,13.8,Low
WQ-09144,2022-08-08,South East,Smithtown,Rainwater,Dry,27.0,135.8,5.4,5.86,6.06,11.84,52,0.045,2,17.9,Low
WQ-09145,2025-04-28,South West,Lynchberg,River,Rainy,26.2,5.6,7.87,10.85,6.67,17.34,134,0.003,3,11.1,Low
WQ-09146,2023-09-18,South South,Randymouth,River,Dry,27.4,46.2,6.79,8.8,6.59,7.54,162,0.012,0,9.9,Low
WQ-09147,2022-10-20,North West,North Robert,Tap,Rainy,27.2,9.7,6.45,7.32,5.81,30.39,82,0.071,2,15.7,Low
WQ-09148,2025-10-30,South East,Rebeccaberg,Well,Rainy,20.3,11.8,5.78,9.95,7.42,5.62,155,0.004,2,9.7,Low
WQ-09149,2022-01-02,North Central,Normaburgh,Borehole,Rainy,23.8,61.7,6.23,10.55,3.56,23.68,103,0.043,1,17.0,Low
WQ-09150,2024-12-22,South South,East Tonya,Rainwater,Rainy,30.7,33.0,4.62,27.86,7.71,17.5,410,0.01,2,25.1,Low
WQ-09151,2022-08-12,South South,Port Josebury,Tap,Dry,27.2,26.2,6.16,7.0,7.95,30.51,82,0.062,2,16.4,Low
WQ-09152,2023-01-07,North West,New Manuel,Lake,Dry,32.1,33.9,7.57,2.27,4.92,1.97,51,0.037,0,6.9,Low
WQ-09153,2024-02-16,North Central,Alanmouth,River,Dry,22.7,40.0,7.0,26.59,4.68,15.15,205,0.052,4,20.3,Low
WQ-09154,2022-05-05,South West,South Cindyburgh,Rainwater,Rainy,31.5,55.7,7.45,5.96,2.69,8.78,227,0.013,2,10.8,Low
WQ-09155,2023-07-12,North Central,Port Robert,Rainwater,Dry,31.5,22.7,7.68,11.04,7.56,15.5,166,0.016,0,12.4,Low
WQ-09156,2022-09-24,South East,Port Christopher,Tap,Dry,30.3,2.6,8.36,20.73,4.96,38.83,226,0.01,2,21.3,Low
WQ-09157,2022-01-15,South West,New Brianafurt,Rainwater,Dry,22.7,50.2,5.36,9.63,6.17,29.93,150,0.012,3,17.6,Low
WQ-09158,2024-03-10,South West,Longton,Tap,Rainy,17.0,36.3,6.3,28.13,4.43,24.02,99,0.067,3,23.7,Low
WQ-09159,2023-05-20,North Central,West Derekton,Lake,Dry,26.7,37.7,6.82,9.54,8.33,5.08,93,0.022,1,9.1,Low
WQ-09160,2025-03-28,South West,Walshview,Rainwater,Rainy,27.3,92.0,6.43,3.77,8.03,24.69,150,0.043,3,16.3,Low
WQ-09161,2022-08-04,South South,Lake Brianna,River,Rainy,28.2,52.4,8.3,7.43,7.05,20.54,170,0.03,0,15.7,Low
WQ-09162,2022-04-10,South West,Stephensberg,Well,Rainy,26.6,14.2,6.92,8.67,7.08,0.9,280,0.023,0,8.5,Low
WQ-09163,2025-01-12,North East,Jorgeton,River,Rainy,28.1,92.7,4.15,10.19,7.15,12.04,27,0.075,3,21.5,Low
WQ-09164,2022-10-26,South South,Johnhaven,Lake,Rainy,25.1,66.5,6.46,3.43,7.56,9.88,194,0.056,1,13.1,Low
WQ-09165,2024-11-15,South South,North Amanda,Well,Rainy,29.8,32.1,5.48,2.85,6.25,24.93,345,0.066,3,18.3,Low
WQ-09166,2023-04-26,South West,Chandlerland,Borehole,Rainy,25.9,73.5,9.57,21.22,4.55,30.4,8,0.046,3,25.8,Low
WQ-09167,2025-11-27,South South,Feliciachester,Tap,Rainy,25.9,55.6,9.75,18.13,8.86,10.88,54,0.089,1,23.4,Low
WQ-09168,2025-08-14,North East,North Jennifer,Borehole,Dry,27.4,25.8,4.82,18.67,3.13,15.56,110,0.002,2,17.0,Low
WQ-09169,2024-10-13,North Central,Paulport,Tap,Dry,25.1,31.2,7.34,13.61,6.79,26.77,83,0.009,0,14.1,Low
WQ-09170,2023-07-21,South South,Lake Stephanie,Well,Rainy,27.1,9.0,8.3,23.44,5.42,16.54,292,0.028,1,19.8,Low
WQ-09171,2023-09-27,North West,East Christopherstad,Tap,Rainy,18.4,46.5,7.73,19.39,6.87,15.77,303,0.064,3,21.2,Low
WQ-09172,2024-07-14,North West,Amyberg,Borehole,Dry,28.7,19.2,6.63,9.29,6.98,24.85,100,0.01,2,11.8,Low
WQ-09173,2024-05-22,South East,North Antonio,Rainwater,Dry,28.4,25.6,6.08,15.27,6.74,16.02,342,0.102,4,21.8,Low
WQ-09174,2023-08-07,North East,West Gloria,Tap,Rainy,26.4,55.3,7.31,17.97,6.86,19.07,27,0.07,4,18.6,Low
WQ-09175,2024-07-14,South West,Port Arianachester,River,Rainy,30.0,26.3,6.2,23.59,4.08,29.64,210,0.006,3,20.2,Low
WQ-09176,2025-11-12,North West,Colehaven,Rainwater,Dry,25.8,64.3,8.75,10.59,8.32,23.01,73,0.046,2,18.9,Low
WQ-09177,2023-05-26,South East,West James,Borehole,Rainy,21.9,59.4,9.74,13.58,3.57,7.84,66,0.034,1,17.9,Low
WQ-09178,2025-06-05,North West,Port Pamela,Rainwater,Dry,32.6,31.0,5.9,14.03,6.53,34.02,136,0.014,2,18.1,Low
WQ-09179,2024-08-04,South South,Lopezbury,Well,Dry,26.7,41.4,6.33,17.51,6.37,16.3,122,0.013,0,15.3,Low
WQ-09180,2024-01-16,South South,South Brittneymouth,Lake,Rainy,26.5,25.6,6.84,18.09,9.18,17.55,51,0.012,2,13.2,Low
WQ-09181,2024-11-05,South South,Bakerland,Well,Rainy,29.6,23.0,7.01,27.32,7.89,14.09,238,0.072,1,21.1,Low
WQ-09182,2023-11-07,North East,Laraton,Lake,Rainy,30.0,17.3,6.0,15.49,7.14,11.01,219,0.046,2,15.9,Low
WQ-09183,2024-02-14,South East,Port Thomasshire,Lake,Dry,28.4,2.8,6.17,0.33,7.05,30.95,159,0.049,2,12.8,Low
WQ-09184,2023-03-23,South East,North Michelle,Rainwater,Rainy,22.6,168.0,6.72,9.39,7.82,12.69,74,0.044,1,18.5,Low
WQ-09185,2024-09-28,North West,East Tina,Lake,Dry,24.9,51.6,6.32,13.61,4.73,23.98,171,0.018,4,16.7,Low
WQ-09186,2024-06-25,South West,New Pamela,River,Dry,25.6,43.1,5.85,11.67,7.99,2.82,436,0.026,0,15.4,Low
WQ-09187,2025-11-07,South West,Davidburgh,Lake,Dry,30.3,17.2,9.96,17.89,7.92,12.7,244,0.032,1,20.5,Low
WQ-09188,2022-07-12,South East,Stewarttown,Tap,Rainy,27.0,42.3,5.95,9.0,6.23,16.7,304,0.03,2,15.8,Low
WQ-09189,2023-10-10,South West,North Brianaborough,Lake,Dry,24.7,34.2,8.07,17.57,6.16,4.66,142,0.05,1,15.9,Low
WQ-09190,2024-10-04,South West,Samanthaville,Borehole,Dry,39.4,11.7,5.1,6.7,5.05,1.83,295,0.041,1,12.8,Low
WQ-09191,2024-03-05,South South,New Zacharyburgh,Rainwater,Dry,28.0,55.3,8.57,22.42,7.16,16.77,33,0.001,2,18.1,Low
WQ-09192,2023-01-26,South South,Pennybury,River,Dry,30.2,11.4,6.24,8.81,9.83,6.57,234,0.092,1,14.8,Low
WQ-09193,2023-08-02,North East,Port Megan,Lake,Rainy,27.9,45.1,6.11,7.21,6.49,15.47,253,0.003,2,12.6,Low
WQ-09194,2024-04-17,North Central,Clineport,River,Dry,32.0,69.6,6.79,12.8,6.86,7.34,139,0.056,1,15.1,Low
WQ-09195,2022-09-24,South South,Aaronchester,Rainwater,Rainy,28.5,35.2,6.08,18.88,5.61,14.43,101,0.107,4,21.3,Low
